Year,TradeOpenness
01/01/1960,8.734099721
01/01/1961,7.360220725
01/01/1962,6.960936156
01/01/1963,6.865336858
01/01/1964,6.633104293
01/01/1965,6.828143022
01/01/1966,6.729496479
01/01/1967,6.253483447
01/01/1968,6.220973568
01/01/1969,5.453062889
01/01/1970,4.952406018
01/01/1971,4.920835199
01/01/1972,5.755367497
01/01/1973,8.000145127
01/01/1974,10.33348658
01/01/1975,9.554202994
01/01/1976,8.836913605
01/01/1977,8.384615385
01/01/1978,9.650141541
01/01/1979,11.08657813
01/01/1980,12.42484853
01/01/1981,14.89718198
01/01/1982,14.22478722
01/01/1983,13.56579411
01/01/1984,15.7698783
01/01/1985,20.68960589
01/01/1986,19.89761565
01/01/1987,20.7450034
01/01/1988,23.0255314
01/01/1989,19.13470709
01/01/1990,22.19947333
01/01/1991,24.06633472
01/01/1992,26.09757739
01/01/1993,25.90043019
01/01/1994,35.76981499
01/01/1995,34.27696906
01/01/1996,33.81474547
01/01/1997,34.53301736
01/01/1998,32.42430462
01/01/1999,33.52416176
01/01/2000,39.41101485
01/01/2001,38.52735927
01/01/2002,42.74740363
01/01/2003,51.803988
01/01/2004,59.50552422
01/01/2005,62.20789287
01/01/2006,64.4788839
01/01/2007,62.19336348
01/01/2008,57.61271534
01/01/2009,45.18487038
01/01/2010,50.71707766
01/01/2011,50.74090459
01/01/2012,48.26752237
01/01/2013,46.74437558
01/01/2014,44.90521595
01/01/2015,39.46416934
01/01/2016,36.89441502
01/01/2017,37.63241324
01/01/2018,37.5657841
01/01/2019,35.89009603
01/01/2020,34.7542957
01/01/2021,37.30199087
01/01/2022,38.14381803
