Year,TradeOpenness
01/01/1970,24.98377079
01/01/1971,25.1034571
01/01/1972,25.34560748
01/01/1973,28.33991133
01/01/1974,33.14913973
01/01/1975,31.33026463
01/01/1976,32.01730138
01/01/1977,32.25775154
01/01/1978,31.89353496
01/01/1979,34.14829175
01/01/1980,36.98288462
01/01/1981,37.47542631
01/01/1982,36.00777837
01/01/1983,35.36655621
01/01/1984,36.81839361
01/01/1985,36.83453438
01/01/1986,34.41615835
01/01/1987,35.05521351
01/01/1988,36.48379727
01/01/1989,37.04160866
01/01/1990,37.60722229
01/01/1991,37.5293778
01/01/1992,40.13323359
01/01/1993,38.76531313
01/01/1994,41.17183228
01/01/1995,43.15388747
01/01/1996,43.28877187
01/01/1997,45.13292805
01/01/1998,45.60561409
01/01/1999,46.08536441
01/01/2000,50.49382049
01/01/2001,49.3956439
01/01/2002,49.44760487
01/01/2003,51.15037455
01/01/2004,54.74681509
01/01/2005,56.81125236
01/01/2006,59.01668448
01/01/2007,59.42510067
01/01/2008,61.08411602
01/01/2009,52.57509195
01/01/2010,56.94829176
01/01/2011,60.11207908
01/01/2012,59.92800072
01/01/2013,59.22639129
01/01/2014,58.64555813
01/01/2015,56.30754586
01/01/2016,54.5022473
01/01/2017,56.2577999
01/01/2018,57.70844817
01/01/2019,56.49757917
01/01/2020,52.43393563
01/01/2021,56.81160078
01/01/2022,62.56354856
