Year,TradeOpenness
01/01/1960,11.29683311
01/01/1961,10.26116259
01/01/1962,10.20079018
01/01/1963,10.18733784
01/01/1964,9.41054892
01/01/1965,8.51903437
01/01/1966,10.81423751
01/01/1967,9.981062668
01/01/1968,8.981744476
01/01/1969,7.744776643
01/01/1970,7.661769338
01/01/1971,7.669606558
01/01/1972,7.736399597
01/01/1973,8.932096019
01/01/1974,10.85189025
01/01/1975,12.29397821
01/01/1976,12.80120307
01/01/1977,12.64810114
01/01/1978,12.90301184
01/01/1979,14.91880453
01/01/1980,15.38457685
01/01/1981,14.50726476
01/01/1982,14.12592775
01/01/1983,13.69059389
01/01/1984,14.00937594
01/01/1985,12.90003619
01/01/1986,12.2192719
01/01/1987,12.58481404
01/01/1988,13.49045012
01/01/1989,15.16813209
01/01/1990,15.50626151
01/01/1991,16.98772655
01/01/1992,18.43309904
01/01/1993,19.65153979
01/01/1994,20.07814438
01/01/1995,22.86744871
01/01/1996,21.92948787
01/01/1997,22.61938687
01/01/1998,23.69947008
01/01/1999,24.81559804
01/01/2000,26.90092291
01/01/2001,25.99325475
01/01/2002,29.50866294
01/01/2003,30.59243613
01/01/2004,37.50381406
01/01/2005,42.00166962
01/01/2006,45.7244805
01/01/2007,45.68626868
01/01/2008,53.36822044
01/01/2009,46.27286964
01/01/2010,49.2552065
01/01/2011,55.62388001
01/01/2012,55.79372172
01/01/2013,53.84413194
01/01/2014,48.92218575
01/01/2015,41.92291387
01/01/2016,40.08248571
01/01/2017,40.74249695
01/01/2018,43.61696933
01/01/2019,39.90540353
01/01/2020,37.80412536
01/01/2021,45.6676832
01/01/2022,49.2297021
