Year,TradeOpenness
01/01/1970,10.7582854
01/01/1971,10.75717904
01/01/1972,11.34061965
01/01/1973,13.07921559
01/01/1974,16.44498632
01/01/1975,15.51637363
01/01/1976,16.04884564
01/01/1977,16.41789468
01/01/1978,16.97283423
01/01/1979,18.3761632
01/01/1980,20.10984469
01/01/1981,19.42591317
01/01/1982,17.53681228
01/01/1983,16.66559348
01/01/1984,17.52240742
01/01/1985,16.60390613
01/01/1986,16.89797715
01/01/1987,17.97358098
01/01/1988,19.07010071
01/01/1989,19.41511066
01/01/1990,19.81506735
01/01/1991,19.78644812
01/01/1992,19.9505945
01/01/1993,20.0446187
01/01/1994,21.05545916
01/01/1995,22.45338165
01/01/1996,22.68707199
01/01/1997,23.42832109
01/01/1998,22.82589095
01/01/1999,23.3135637
01/01/2000,25.10299536
01/01/2001,22.96718134
01/01/2002,22.28637411
01/01/2003,22.62731301
01/01/2004,24.44806226
01/01/2005,25.63855303
01/01/2006,26.9752781
01/01/2007,28.01201768
01/01/2008,29.86779579
01/01/2009,24.75953117
01/01/2010,28.21989523
01/01/2011,30.84248624
01/01/2012,30.68183537
01/01/2013,30.00795397
01/01/2014,30.00447816
01/01/2015,27.82356492
01/01/2016,26.60796206
01/01/2017,27.31302089
01/01/2018,27.61037927
01/01/2019,26.45063522
01/01/2020,23.39270755
01/01/2021,25.5556269
01/01/2022,27.36357347
